 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
R304          5.0120    2.7470  180.0  A1   (T)  'R402H16', 'R402H16'
R305          5.4090    2.6190  180.0  A1   (T)  'R402H16', 'R402H16'
R308          4.8750    3.6670    0.0  A1   (T)  'R402H16', 'R402H16'
R309          4.1194    3.4450    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R310          3.8974    3.4530    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R311          3.7984    3.4530    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R312          3.8284    3.4530    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R313          3.8674    3.4530    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R314          4.0894    3.4450    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R315          4.0594    3.4450    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R316          4.2940    3.0280    0.0  A1   (T)  'R402H16', 'R402H16'
R317          4.1904    3.0260   90.0  A1   (T)  'R402H16', 'R402H16'
R318          4.2350    2.9960  270.0  A1   (T)  'R402H16', 'R402H16'
R319          5.9260    1.6430  270.0  A1   (T)  'R402H16', 'R402H16'
R401          4.5434    2.6080  270.0  A1   (T)  'R402H16', 'R402H16'
R402          5.6370    2.9970    0.0  A1   (T)  'R402H16', 'R402H16'
R403          4.6070    3.6470  270.0  A1   (T)  'R402H16', 'R402H16'
R404          4.5540    3.6260    0.0  A1   (T)  'R402H15', 'R402H15'
R405          4.6070    3.6130  270.0  A1   (T)  'R402H16', 'R402H16'
R406          4.4710    3.5650  270.0  A1   (T)  'R402H16', 'R402H16'
R501          4.8080    1.8740    0.0  A1   (T)  'R402H16', 'R402H16'
R502          4.7780    1.8740    0.0  A1   (T)  'R402H16', 'R402H16'
R503          4.8380    1.8740    0.0  A1   (T)  'R402H14', 'R402H14'
R504          6.3560    1.5870    0.0  A1   (T)  'R402H15', 'R402H15'
R505          6.3250    1.5870  180.0  A1   (T)  'R402H16', 'R402H16'
R506          6.4250    1.5020  270.0  A1   (T)  'R402H16', 'R402H16'
R601          4.3450    3.0590  270.0  A1   (T)  'R402H16', 'R402H16'
R709          4.2884    3.4340    0.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
R719          4.6100    3.0040  180.0  A1   (T)  'R402H14', 'R402H14'
R720          4.5794    3.0040    0.0  A1   (T)  'R402H14', 'R402H14'
R723          4.1984    3.4490  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R726          4.2474    3.4360  180.0  A1   (B)  'R402H14_B', 'R402H14_B'
R727          4.3680    3.4660  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R728          4.3184    3.4460  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R732          4.1984    3.4190  270.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
R807          3.9264    3.0490  180.0  A1   (T)  'R402H14', 'R402H14'
R808          3.8944    3.0490    0.0  A1   (T)  'R402H14', 'R402H14'
R809          4.9210    2.9950  270.0  A1   (T)  'R402H14', 'R402H14'
R810          4.9690    3.0060  180.0  A1   (T)  'R402H14', 'R402H14'
R812          4.3660    2.9130  270.0  A1   (T)  'R805H20', 'R805H20'
R813          4.3880    3.0080  270.0  A1   (T)  'R805H20', 'R805H20'
R814          4.5300    2.8940  180.0  A1   (T)  'R805H20', 'R805H20'
R815          4.5020    3.0080  270.0  A1   (T)  'R805H20', 'R805H20'
R816          4.4580    2.8940  180.0  A1   (T)  'R805H20', 'R805H20'
R1103         6.3010    3.3620  270.0  A1   (T)  'R603H22', 'R603H22'
R1104         6.2510    2.6470   90.0  A1   (T)  'R603H22', 'R603H22'
R1204         4.3450    0.6760   90.0  A1   (T)  'R402H15', 'R402H15'
R1205         4.2650    0.6800  270.0  A1   (T)  'R603H22', 'R603H22'
R1206         3.3220    0.6690  270.0  A1   (T)  'R402H16', 'R402H16'
R1208         4.4120    0.6820  270.0  A1   (T)  'R402H15', 'R402H15'
R1209         3.3150    0.6050  270.0  A1   (T)  'R402H16', 'R402H16'
R1210         4.5010    0.6720   90.0  A1   (T)  'R603H22', 'R603H22'
R1211         3.5120    0.6360   90.0  A1   (T)  'R402H15', 'R402H15'
R1212         3.5080    0.6770   90.0  A1   (T)  'R603H22', 'R603H22'
